ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IH,CG,PSM,PSG,CAND_IND1,CAND_IND2,CAND_IND4,CAND_IND5,CAND_IND7,CAND_IND8,CAND_IND9,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,MORENA_ES,PAN_PRD,PRD_MC,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2194,1,160,24,3,5,14,1,98,27,1,14,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,355,0,16,371,525,18,299,506,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2195,3,246,315,42,57,13,50,207,222,11,90,23,69,24,0,0,0,0,0,0,0,0,7,5,5,1,1,0,0,0,1388,0,59,1447,2186,14,322,505,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2196,2,88,168,16,18,4,12,198,78,4,72,10,17,3,0,0,0,0,0,0,0,0,2,0,0,0,5,1,0,0,696,0,30,726,1154,17,408,711,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2197,1,60,35,32,5,4,5,83,29,1,12,1,8,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,280,0,20,300,508,16,376,710,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2198,1,63,49,5,16,0,4,78,50,4,48,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,325,0,15,340,532,0,361,710,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2199,1,53,92,45,24,6,1,32,33,3,34,16,8,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,351,0,23,374,542,10,412,692,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2200,1,37,45,14,3,5,1,23,48,4,30,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,220,0,14,234,335,24,426,691,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2201,1,133,147,18,9,7,2,23,29,5,30,1,21,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,429,0,9,438,741,9,217,336,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2202,1,17,30,1,3,0,7,3,11,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,83,0,1,84,107,18,378,617,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2203,2,184,158,67,9,19,3,12,77,6,31,0,36,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,607,0,39,646,1222,15,396,616,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2204,1,33,87,8,10,13,2,4,53,0,7,26,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,248,0,10,258,497,13,441,616,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2205,2,178,157,42,34,9,16,27,181,9,41,2,30,1,1,0,0,0,0,0,0,0,5,3,0,0,3,4,0,0,743,0,43,786,1222,16,417,731,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2206,2,225,147,17,13,8,8,32,87,3,17,0,37,1,0,0,0,0,0,0,0,0,5,0,1,0,3,0,0,0,604,0,32,636,1009,10,398,730,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2207,2,249,226,86,12,12,3,75,118,4,26,13,8,1,1,0,0,0,0,0,0,0,5,1,0,0,4,3,0,0,847,0,43,890,1377,11,389,730,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2208,4,110,520,113,146,15,98,87,147,7,14,6,15,2,0,0,0,0,0,0,0,0,9,2,8,1,26,3,0,0,1329,0,149,1478,2362,13,329,507,Acta casilla,,,
